Execution_Date,Signal_Date,Execution_Open,Execution_High,Execution_Low,Execution_Close,Signal,BUY_Probability,SELL_Probability,WAIT_Probability,BUY_Threshold,SELL_Threshold,True_Target
2024-03-26,2024-03-25,507.53866742888704,507.87950952715136,504.78304672651166,505.1822509765625,WAIT,0.23153550842225476,0.14431213063879614,0.6241523609389489,0.55,0.45,0
2024-03-27,2024-03-26,508.00603133212223,509.4666301607913,505.84431416109436,509.4276428222656,WAIT,0.23389589534234606,0.15879449880085228,0.6073096058568015,0.55,0.45,0
2024-03-28,2024-03-27,509.46662856862366,510.82981847863687,509.04793070421056,509.3302917480469,WAIT,0.23443431592849268,0.1907155868337178,0.5748500972377887,0.55,0.45,-1
2024-04-01,2024-03-28,510.07042079723595,510.60596189996124,507.28550008559404,508.4442443847656,WAIT,0.2127498835584188,0.1670745370724454,0.6201755793691355,0.55,0.45,0
2024-04-02,2024-04-01,504.627181070464,505.3477336967163,502.9134021583385,505.2114562988281,WAIT,0.23449862224375256,0.15617862766130725,0.6093227500949393,0.55,0.45,0
2024-04-03,2024-04-02,504.12080800253995,507.2660046821648,504.0721332594207,505.76641845703125,WAIT,0.265362824453183,0.17692721600177297,0.5577099595450437,0.55,0.45,0
2024-04-04,2024-04-03,509.76853565111946,510.1093183056524,499.2911628340767,499.593017578125,WAIT,0.3241909276148361,0.23226684165642578,0.4435422307287381,0.55,0.45,0
2024-04-05,2024-04-04,500.9464745680228,506.7693762627344,500.50828302932854,504.8121643066406,WAIT,0.314897459617528,0.20968770865199568,0.4754148317304763,0.55,0.45,0
2024-04-08,2024-04-05,505.5133007732254,506.516214442084,504.2863881936749,505.09454345703125,WAIT,0.3425940423964311,0.33632908089071994,0.3210768767128489,0.55,0.45,0
2024-04-09,2024-04-08,506.8278303713481,507.0712635271461,500.8393509659492,505.6788330078125,WAIT,0.3835377540792666,0.2550794480200239,0.36138279790070943,0.55,0.45,-1
2024-04-10,2024-04-09,499.9922143304957,502.60181066009386,498.6387711363,500.61541748046875,WAIT,0.32602121165454795,0.22354722504393518,0.4504315633015163,0.55,0.45,-1
2024-04-11,2024-04-10,502.1344876196163,505.8346601112469,498.6290735605831,504.3935546875,WAIT,0.29963707083401353,0.23606369423851498,0.4642992349274715,0.55,0.45,-1
2024-04-12,2024-04-11,500.85886371567153,502.2707879594682,495.70780962230026,497.43133544921875,WAIT,0.3604155860286367,0.2865700160906971,0.35301439788066574,0.55,0.45,-1
2024-04-15,2024-04-12,501.5989207934361,501.7644387082916,490.3522904966187,491.199462890625,WAIT,0.3353789999033261,0.23842725766473677,0.4261937424319367,0.55,0.45,-1
2024-04-16,2024-04-15,491.6766166443132,493.19563735543574,489.0183155418661,490.30364990234375,WAIT,0.43318163343351057,0.26148467906890677,0.3053336874975824,0.55,0.45,0
2024-04-17,2024-04-16,492.75738492725213,492.9229325491744,486.00942494137024,487.40185546875,WAIT,0.4773224907431881,0.2513340609533966,0.27134344830341556,0.55,0.45,0
2024-04-18,2024-04-17,488.7943295112607,490.88784877913054,485.46415075166374,486.39892578125,WAIT,0.47593052455573376,0.21692336148725064,0.3071461139570161,0.55,0.45,0
2024-04-19,2024-04-18,486.3210783246666,487.31427501412566,480.8876330360681,482.15350341796875,WAIT,0.43878598658739965,0.27003180471690397,0.2911822086956969,0.55,0.45,0
2024-04-22,2024-04-19,484.7533503648902,489.18385210193054,482.41639776348796,486.5937194824219,WAIT,0.4280037507188298,0.2908998087423002,0.28109644053886995,0.55,0.4,1
2024-04-23,2024-04-22,488.5995489497242,492.79633413093177,486.4086505723251,492.3678894042969,WAIT,0.4384414045004694,0.2823378094123445,0.27922078608718603,0.55,0.4,1
2024-04-24,2024-04-23,493.25400289949073,494.04272395926796,489.91410708182036,492.13421630859375,WAIT,0.3801858187702519,0.3192434417452949,0.3005707394844536,0.55,0.4,0
2024-04-25,2024-04-24,486.0678327855915,491.02412816029823,484.42222231211605,490.2646179199219,WAIT,0.35224292645947664,0.35895096417065986,0.2888061093698637,0.55,0.4,0
2024-04-26,2024-04-25,493.0495298783495,496.4868049205615,492.4166096033967,494.90936279296875,WAIT,0.36469654981601535,0.35328369704312684,0.2820197531408578,0.55,0.4,0
2024-04-29,2024-04-26,496.6913201679961,497.33398732987405,493.9259228058318,496.662109375,WAIT,0.36075163932508214,0.36666346977360875,0.27258489090130944,0.55,0.4,0
2024-04-30,2024-04-29,495.2014281735309,496.1751607332108,488.7942810058594,488.7942810058594,WAIT,0.34586595027764766,0.3533182077055345,0.3008158420168178,0.55,0.4,0
2024-05-01,2024-04-30,488.2100967940072,494.841213980312,486.7397509352648,487.2071533203125,WAIT,0.32761059657963276,0.3172955891872047,0.35509381423316283,0.55,0.4,1
2024-05-02,2024-05-01,490.90730120185356,492.60161619088024,486.4281251448712,491.7641906738281,WAIT,0.3887192571556218,0.3474964272585396,0.2637843155858385,0.55,0.4,1
2024-05-03,2024-05-02,497.73321224009646,499.08668524553275,495.20150126804214,497.85980224609375,WAIT,0.39931575122566765,0.33732559000912293,0.2633586587652087,0.55,0.4,1
2024-05-06,2024-05-03,500.2551653379584,503.0400265445959,499.8169737447077,503.0010986328125,WAIT,0.36903028855054404,0.34548341968023116,0.285486291769225,0.55,0.4,1
2024-05-07,2024-05-06,503.96507290224616,504.9485523975052,502.8842439138016,503.5561218261719,WAIT,0.3199049063931423,0.3278912124016697,0.3522038812051881,0.55,0.4,0
2024-05-08,2024-05-07,501.72543965182825,504.14027734043043,501.6085965012132,503.604736328125,WAIT,0.31767318570126424,0.24809740678891226,0.4342294075098233,0.55,0.4,0
2024-05-09,2024-05-08,503.7898682306733,506.54554862676025,503.1374839119154,506.5065612792969,WAIT,0.2825353821352382,0.20090810501478082,0.5165565128499808,0.55,0.4,1
2024-05-10,2024-05-09,508.1034888313709,508.91170366265516,505.9418306327187,507.15899658203125,WAIT,0.2663454904484057,0.1953261175458632,0.5383283920057305,0.55,0.4,1
2024-05-13,2024-05-10,508.8337334335511,508.94082976185797,506.0878002167031,507.22705078125,WAIT,0.2446517669857207,0.1710339814936817,0.5843142515205967,0.55,0.4,1
2024-05-14,2024-05-13,507.4217226921896,510.07030596484543,506.8861817100309,509.55419921875,WAIT,0.21706735149252585,0.13402905185664674,0.6489035966508274,0.55,0.4,1
