Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Entry_Cost,Net_Exit_Value,Net_Profit,Return_Percent,Holding_Days,Exit_Reason
2022-03-08,2022-03-15,394.9075129257104,400.911287298584,6.598157401154159,2605.9224953750763,2645.011249917644,39.088754542567585,0.014999968192431391,5,MAX_HOLDING
2022-03-15,2022-03-18,395.04857459881634,418.6677387769304,6.620535571740006,2615.6946840107184,2771.527476846889,155.83279283617048,0.059576063593640705,3,TAKE_PROFIT
2022-04-04,2022-04-11,427.76877698920373,414.85272653679175,6.205192118410284,2654.652882219761,2573.9834449202162,-80.66943729954482,-0.030387941805819395,5,STOP_LOSS
2022-04-11,2022-04-19,419.2535018570042,419.9635063659668,6.283124861252242,2634.4855228948745,2638.4192793519037,3.933756457029176,0.001493178240245789,5,MAX_HOLDING
2022-04-25,2022-05-02,399.9576442030603,387.8813230939931,6.588711278955027,2635.4689620091317,2555.382484560555,-80.08647744857672,-0.030387941805819385,5,STOP_LOSS
2022-05-03,2022-05-09,391.7823213199896,379.95284591005384,6.6750991092541385,2615.4473426469876,2535.969281002446,-79.47806164454141,-0.03038794180581931,4,STOP_LOSS
2022-05-09,2022-05-11,382.4270136117451,370.8800123627521,6.786440818851725,2595.577827235852,2516.7035592693337,-78.87426796651835,-0.030387941805819444,2,STOP_LOSS
2022-05-11,2022-05-12,375.79042132519317,364.4438053437003,6.85382477550006,2575.8592602442222,2497.58419894394,-78.27506130028223,-0.030387941805819323,1,STOP_LOSS
2022-05-12,2022-05-19,367.5772953998223,367.51519685668944,6.953734421082103,2556.2904949191516,2555.3475143456612,-0.9429805734903312,-0.0003688863121638901,5,MAX_HOLDING
2022-05-19,2022-05-26,366.86924991680036,382.47210477905276,6.966512375835272,2556.054749775779,2664.2302016899002,108.17545191412137,0.04232125776007368,5,MAX_HOLDING
2022-05-26,2022-06-03,376.3567746449648,387.4074883544922,6.86274434984717,2583.098612754309,2658.4126839380956,75.31407118378638,0.029156483152410668,5,MAX_HOLDING
2022-06-03,2022-06-10,389.3183661236115,377.56328737687517,6.682620678182497,2601.9271305502557,2522.859920324112,-79.06721022614374,-0.030387941805819368,5,STOP_LOSS
2022-06-10,2022-06-13,372.7789123026244,361.523225824559,6.926094938771473,2582.16032799372,2503.6937902133513,-78.46653778036853,-0.030387941805819337,1,STOP_LOSS
2022-06-13,2022-06-16,358.590139640003,347.7628689637127,7.14544874930049,2562.5436935486277,2484.6732649142023,-77.87042863442548,-0.03038794180581951,3,STOP_LOSS
2022-06-16,2022-06-24,349.7728475269613,369.6903598815918,7.2699233865304365,2543.0760863900214,2687.3518310187296,144.27574462870825,0.056732767611964115,5,MAX_HOLDING
2022-08-18,2022-08-22,404.70976567565583,392.4899590108451,6.372189041518206,2579.1450225471986,2500.7701136932656,-78.374908853933,-0.030387941805819385,2,STOP_LOSS
2022-08-22,2022-08-29,395.408829529605,383.46985533078805,6.472529631778284,2559.5512953337156,2481.771799522105,-77.77949581161056,-0.030387941805819378,5,STOP_LOSS
2022-08-29,2022-09-01,381.3294188637968,369.81555839062327,6.660520564358512,2540.106421380813,2462.917815267304,-77.1886061135092,-0.030387941805819746,3,STOP_LOSS
2022-09-01,2022-09-09,372.50247140563283,385.3469264282227,6.766551654327919,2520.809269852436,2607.2091355248176,86.39986567238157,0.03427465405878933,5,MAX_HOLDING
2022-09-09,2022-09-15,381.84138052381115,370.3120618802752,6.657620547257395,2542.4092362705314,2465.150652352165,-77.25858391836664,-0.030387941805819395,4,STOP_LOSS
2022-09-15,2022-09-21,372.5688013615288,361.3194589732188,6.7714803194491004,2523.09459029094,2446.4229387106006,-76.67165158033913,-0.030387941805819524,4,STOP_LOSS
2022-09-21,2022-09-22,367.5780565121342,356.4794046738068,6.81127794602785,2503.926677395855,2427.837499237111,-76.08917815874429,-0.030387941805819524,1,STOP_LOSS
2022-09-22,2022-09-23,358.5054824461043,347.6807679091266,6.9305939209394705,2484.904382856169,2409.39325307691,-75.51112977925914,-0.030387941805819524,1,STOP_LOSS
2022-09-23,2022-09-30,352.79348507449527,342.14123858615596,6.989301465950947,2466.026600411354,2391.0891275864515,-74.93747282490267,-0.030387941805819316,5,STOP_LOSS
2022-09-30,2022-10-07,344.43484249758876,345.2391964050293,7.104529581584109,2447.292232205128,2452.516807373499,5.224575168370848,0.0021348391089621747,5,MAX_HOLDING
2022-10-07,2022-10-10,351.26069371499136,340.6547283289609,6.97018933359427,2448.598375997221,2374.1905110415933,-74.4078649556277,-0.030387941805819507,1,STOP_LOSS
2022-10-10,2022-10-13,346.4911216535378,336.02916872633085,7.012455103667629,2429.9964097583143,2356.153820270228,-73.8425894880861,-0.030387941805819555,3,STOP_LOSS
2022-10-13,2022-10-14,332.4491316608956,352.3256003446373,7.25312357074395,2411.5357623862933,2555.205570324558,143.6698079382645,0.059576063593640656,1,TAKE_PROFIT
2022-10-14,2022-10-14,350.86085217978126,340.26695960906494,6.974869035168267,2447.4532143708593,2373.080148520092,-74.37306585076749,-0.030387941805819475,0,ENTRY_DAY_STOP
2022-10-17,2022-10-19,346.5388052987512,351.1393318786647,7.008211054764376,2428.8599479081677,2460.6124615798917,31.752513671724046,0.01307301135212452,2,SELL_SIGNAL
2022-10-24,2022-10-25,357.8486652939948,360.465191210964,6.80889621002842,2436.7980763260985,2454.1246372760743,17.32656094997583,0.007110380264292832,1,SELL_SIGNAL
2022-10-26,2022-10-28,363.3035905412318,361.49289559373216,6.71858382782422,2441.1297165635924,2428.477450177177,-12.65226638641525,-0.005182955375360387,2,SELL_SIGNAL
2022-11-01,2022-11-02,371.41460083893884,360.2001083812079,6.563346923284582,2437.9666499669884,2363.8818612832624,-74.08478868372595,-0.03038794180581966,1,STOP_LOSS
2022-11-02,2022-11-03,365.4741657202745,354.43903876051655,6.619355783123711,2419.4454527960575,2345.9234851741357,-73.5219676219217,-0.030387941805819708,1,STOP_LOSS
2022-11-14,2022-11-21,377.6216621859459,375.50084306030277,6.357752001050562,2401.0649608905774,2387.102502239177,-13.962458651400539,-0.0058151107441181986,5,MAX_HOLDING
2023-08-04,2023-08-11,434.3098830781232,429.25269429931643,5.519871193755957,2397.574346227727,2369.1826401467183,-28.39170608100858,-0.011841845958053087,5,MAX_HOLDING
2023-08-17,2023-08-24,425.09791586930925,420.81499008789064,5.622792553757721,2390.4764197074746,2365.918777236543,-24.55764247093157,-0.010273116383192232,5,MAX_HOLDING
2024-08-06,2024-08-13,507.3139477084741,529.3987987670898,4.6994540757232075,2384.337009089742,2487.636554014716,103.29954492497382,0.04332422158913267,5,MAX_HOLDING
2024-12-20,2024-12-30,572.0921634163793,578.2034890014648,4.2124696986570624,2410.1618953209854,2435.421110608755,25.25921528776962,0.010480298164537034,5,MAX_HOLDING
2025-04-15,2025-04-16,532.2889151909033,516.2169836856291,4.539330064329428,2416.4766991429274,2343.0449458342537,-73.4317533086737,-0.030387941805819347,1,STOP_LOSS
2025-04-16,2025-04-21,524.4082398142845,508.57425742133194,4.572542517195495,2398.118760815759,2325.2448674686457,-72.87389334711315,-0.030387941805819458,2,STOP_LOSS
2025-04-21,2025-04-28,514.0321171032151,544.7650693205821,4.629403965373299,2379.9002874789803,2521.685378352352,141.7850908733717,0.05957606359364078,5,TAKE_PROFIT
