Date,Cash,Position_Value,Total_Equity,Signal,In_Position
2021-05-14,7848.358982050634,2676.433651191347,10524.792633241981,BUY,True
2021-05-17,7848.358982050634,2669.6237392994212,10517.982721350056,BUY,True
2021-05-18,7848.358982050634,2646.6231334987865,10494.982115549421,BUY,True
2021-05-19,7848.358982050634,2639.6842045469725,10488.043186597606,BUY,True
2021-05-20,7886.73050241915,2650.3312281530307,10537.06173057218,BUY,True
2021-05-21,7886.73050241915,2648.161311017479,10534.891813436629,BUY,True
2021-05-24,7886.73050241915,2675.157430108455,10561.887932527605,BUY,True
2021-05-25,7886.73050241915,2669.2219885940212,10555.952491013171,BUY,True
2021-05-26,7886.73050241915,2674.5189363294808,10561.249438748631,WAIT,True
2021-05-27,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-05-28,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-01,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-02,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-03,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-04,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-07,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-08,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-09,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-10,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-11,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-14,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-15,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-16,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-17,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-18,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-21,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-22,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-23,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-24,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-25,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-28,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-29,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-06-30,10561.850607273842,0.0,10561.850607273842,WAIT,False
